,Source,General_Pos,Finer_Pos
320,steering,3830.0,3063.0
321,steering,3830.0,3063.0
322,steering,3830.0,3063.0
323,steering,3830.0,3063.0
324,steering,3830.0,3063.0
325,steering,3830.0,3063.0
326,steering,3830.0,3063.0
327,steering,3830.0,3063.0
328,steering,3830.0,3063.0
329,steering,3830.0,3063.0
330,steering,3830.0,3063.0
331,steering,3830.0,3063.0
332,steering,3830.0,3063.0
333,steering,3830.0,3063.0
334,steering,3830.0,3063.0
335,steering,3830.0,3063.0
336,steering,3830.0,3063.0
337,steering,3830.0,3063.0
338,steering,3830.0,3063.0
339,steering,3830.0,3063.0
340,steering,3830.0,3063.0
341,steering,3830.0,3063.0
342,steering,3830.0,3063.0
343,steering,3830.0,3063.0
344,steering,3830.0,3063.0
345,steering,3830.0,3063.0
346,steering,3830.0,3063.0
347,steering,3830.0,3063.0
348,steering,3830.0,3063.0
349,steering,3830.0,3063.0
350,steering,3830.0,3063.0
351,steering,3830.0,3063.0
352,steering,3830.0,3063.0
353,steering,3830.0,3063.0
354,steering,3830.0,3063.0
355,steering,3830.0,3063.0
356,steering,3830.0,3063.0
357,steering,3830.0,3063.0
358,steering,3830.0,3063.0
359,steering,3830.0,3063.0
360,steering,3830.0,3063.0
361,steering,3830.0,3063.0
362,steering,3830.0,3063.0
363,steering,3830.0,3063.0
364,steering,3830.0,3063.0
365,steering,3830.0,3063.0
366,steering,3830.0,3063.0
367,steering,3830.0,3063.0
368,steering,3830.0,3063.0
369,steering,3830.0,3063.0
370,steering,3830.0,3063.0
371,steering,3830.0,3063.0
372,steering,3830.0,3063.0
373,steering,3830.0,3063.0
374,steering,3830.0,3063.0
375,steering,3830.0,3063.0
376,steering,3830.0,3063.0
377,steering,3830.0,3063.0
378,steering,3830.0,3063.0
379,steering,3830.0,3063.0
380,steering,3830.0,3063.0
381,steering,3830.0,3063.0
382,steering,3830.0,3063.0
383,steering,3830.0,3063.0
384,steering,3830.0,3063.0
385,steering,3830.0,3063.0
386,steering,3830.0,3063.0
387,steering,3830.0,3063.0
388,steering,3830.0,3063.0
389,steering,3830.0,3063.0
390,steering,3830.0,3063.0
391,steering,3830.0,3063.0
392,steering,3830.0,3063.0
